Date,Province,Test Total Tests Conducted till date,Rapid Total Tests Conducted till date,Grand Total Tests Conducted till date,PCases Cumulative,Test Positivity Ratio,Acases Cumulative,Grand Total Cases in Last 24 hours,Grand Total Cases till date,Death Cumulative / Total Deaths,Died in Hospital On Ventilator,Died in Hospital Off Ventilator,,Fetaility Ratio,Ventilator Fetality Ratio,Clinic Total No. Of Beds Allocated for COVID Patients,Clinic Total No. of Beds with Oxygen Facility allocated for COVID Patients,Clinic Total No. Of Ventilators allocated for COVID Patients,Clinic Patients Admitted in last 24 Hours,Clinic Total No. Of COVID Patients currently Admitted,Clinic Total No of Patients Clinically Stable,Clinic On Low Flow Oxygen,Clinic On High Flow Oxygen,Clinic Total (on Oxygen),Clinic Total No. of Patients currently on Ventilator,Clinic Total No of Patients in Quarantine at Home or Elsewhere,Clinic Total Numbers Recovered and Discharged so far,DEATH_TOTAL_COL,Healtcare Stress Index,Oxygen Dependency Ratio,Recovery Velocity
18-Sep-22,Sindh,"8,916,483","109,129","9,025,612","590,143",6.54,"3,876",26,"594,019","8,239",0,0,0,1.39,0,"11,366","3,180",676,4,37,4,21,10,31,2,"1,869","583,874","8,239",0.33,83.78,312.4
19-Sep-22,AJK,"342,650","91,586","434,236","38,317",8.82,"5,995",0,"44,312",793,0,0,0,1.79,0,668,282,44,0,0,0,0,0,0,0,13,"43,506",793,0,0,3346.62
19-Sep-22,Balochistan,"483,823","89,892","573,715","34,671",6.04,"1,316",0,"35,987",378,0,0,0,1.05,0,"1,103",827,82,0,0,0,0,0,0,0,15,"35,594",378,0,0,2372.93
19-Sep-22,Gilgit Baltistan,"248,350","56,534","304,884","11,329",3.72,727,0,"12,056",191,0,0,0,1.58,0,373,254,40,0,3,0,3,0,3,0,64,"11,798",191,0.8,100,184.34
19-Sep-22,Islamabad,"2,873,149","89,418","2,962,567","137,531",4.64,"1,849",2,"139,380","1,031",0,0,0,0.74,0,534,466,68,1,7,0,6,1,7,0,482,"137,860","1,031",1.31,100,286.02
19-Sep-22,KP,"3,840,801","1,243,778","5,084,579","188,840",3.71,"35,301",5,"224,141","6,363",0,0,0,2.84,0,"2,793","2,793",314,4,12,0,7,5,12,0,471,"217,295","6,363",0.43,100,461.35
19-Sep-22,Punjab,"12,016,437",0,"12,016,437","522,015",4.34,0,9,"522,015","13,612", , , ,2.61,0,"4,202","2,898",532,3,31,7,3,19,22,2,"2,011","506,361","13,612",0.74,70.97,251.8
19-Sep-22,Sindh,"8,920,305","109,149","9,029,454","590,169",6.54,"3,876",26,"594,045","8,239",0,0,,1.39,0,"11,366","3,180",676,3,31,4,15,11,26,1,"1,901","583,874","8,239",0.27,83.87,307.14
20-Sep-22,AJK,"342,715","91,665","434,380","38,317",8.82,"5,996",1,"44,313",793,0,0,0,1.79,0,668,282,44,0,0,0,0,0,0,0,12,"43,508",793,0,0,3625.67
20-Sep-22,Balochistan,"483,958","89,973","573,931","34,673",6.04,"1,316",2,"35,989",378,0,0,0,1.05,0,"1,103",827,82,0,0,0,0,0,0,0,16,"35,595",378,0,0,2224.69
