Date,Province,Test Total Tests Conducted till date,Rapid Total Tests Conducted till date,Grand Total Tests Conducted till date,PCases Cumulative,Test Positivity Ratio,Acases Cumulative,Grand Total Cases in Last 24 hours,Grand Total Cases till date,Death Cumulative / Total Deaths,Died in Hospital On Ventilator,Died in Hospital Off Ventilator,,Fetaility Ratio,Ventilator Fetality Ratio,Clinic Total No. Of Beds Allocated for COVID Patients,Clinic Total No. of Beds with Oxygen Facility allocated for COVID Patients,Clinic Total No. Of Ventilators allocated for COVID Patients,Clinic Patients Admitted in last 24 Hours,Clinic Total No. Of COVID Patients currently Admitted,Clinic Total No of Patients Clinically Stable,Clinic On Low Flow Oxygen,Clinic On High Flow Oxygen,Clinic Total (on Oxygen),Clinic Total No. of Patients currently on Ventilator,Clinic Total No of Patients in Quarantine at Home or Elsewhere,Clinic Total Numbers Recovered and Discharged so far,DEATH_TOTAL_COL,Healtcare Stress Index,Oxygen Dependency Ratio,Recovery Velocity
29-Mar-20,AJK,105,,105,6,5.71,,4,6,,,0,,0,0,210,,,,6,6,,,,0,0,0,0,2.86,0,0
29-Mar-20,Balochistan,"1,662",,"1,662",144,8.66,,6,144,,,0,,0,0,791,,,,133,133,,,,0,8,2,1,16.81,0,0.25
29-Mar-20,Gilgit Baltistan,481,,481,128,26.61,,12,128,,,0,,0,0,151,,,,12,12,,,,0,111,4,1,7.95,0,0.04
29-Mar-20,Islamabad,"1,200",,"1,200",51,4.25,,8,51,,,0,,0,0,40,,,,13,10,,,,3,35,3,0,32.5,0,0.09
29-Mar-20,KP,664,,664,195,29.37,,7,195,,,0,,0,0,"3,046",,,,60,58,,,,2,128,2,5,1.97,0,0.02
29-Mar-20,Punjab,"2,220",,"2,220",593,26.71,,35,593,,,0,,0,0,"1,592",,,,253,253,,,,0,329,5,6,15.89,0,0.02
29-Mar-20,Sindh,"5,945",,"5,945",508,8.54,,27,508,,,0,,0,0,505,,,,306,301,,,,5,181,16,5,60.59,0,0.09
30-Mar-20,AJK,177,,177,6,3.39,,0,6,,,0,,0,0,210,,,,6,6,,,,0,0,0,0,2.86,0,0
30-Mar-20,Balochistan,"1,792",,"1,792",153,8.54,,9,153,,,0,,0,0,791,,,,139,139,,,,0,11,2,1,17.57,0,0.18
30-Mar-20,Gilgit Baltistan,519,,519,148,28.52,,20,148,,,0,,0,0,151,,,,12,12,,,,0,130,4,2,7.95,0,0.03
30-Mar-20,Islamabad,"1,395",,"1,395",58,4.16,,7,58,,,0,,0,0,40,,,,16,13,,,,3,39,3,0,40,0,0.08
30-Mar-20,KP,"1,512",,"1,512",221,14.62,,26,221,,,0,,0,0,"3,046",,,,70,68,,,,2,143,2,6,2.3,0,0.01
30-Mar-20,Punjab,"2,500",,"2,500",652,26.08,,59,652,,,0,,0,0,"1,592",,,,303,301,,,,2,335,5,9,19.03,0,0.01
30-Mar-20,Sindh,"6,328",,"6,328",627,9.91,,119,627,,,0,,0,0,505,,,,315,310,,,,5,263,42,7,62.38,0,0.16
31-Mar-20,AJK,239,,239,6,2.51,,0,6,,,0,,0,0,210,,,,6,6,,,,0,0,0,0,2.86,0,0
31-Mar-20,Balochistan,"1,934",,"1,934",158,8.17,,5,158,,,0,,0,0,791,,,,124,124,,,,0,16,17,1,15.68,0,1.06
31-Mar-20,Gilgit Baltistan,750,,750,184,24.53,,36,184,,,0,,0,0,151,,,,12,12,,,,0,166,4,2,7.95,0,0.02
31-Mar-20,Islamabad,"1,703",,"1,703",54,3.17,,0,54,,,0,,0,0,40,,,,16,13,,,,3,35,3,0,40,0,0.09
31-Mar-20,KP,"1,271",,"1,271",253,19.91,,32,253,,,0,,0,0,"3,046",,,,74,72,,,,2,171,2,6,2.43,0,0.01
31-Mar-20,Punjab,"2,720",,"2,720",708,26.03,,56,708,,,0,,0,0,"1,592",,,,357,356,,,,1,337,5,9,22.42,0,0.01
31-Mar-20,Sindh,"6,578",,"6,578",676,10.28,,49,676,,,0,,0,0,505,,,,385,381,,,,4,232,51,8,76.24,0,0.22
1-Apr-20,AJK,252,,252,9,3.57,,3,9,,,0,,0,0,210,,,,9,9,,,,0,0,0,0,4.29,0,0
1-Apr-20,Balochistan,"2,049",,"2,049",169,8.25,,11,169,,,0,,0,0,791,,,,125,125,,,,0,26,17,1,15.8,0,0.65
1-Apr-20,Gilgit Baltistan,797,,797,187,23.46,,3,187,,,0,,0,0,151,,,,12,12,,,,0,169,4,2,7.95,0,0.02
1-Apr-20,Islamabad,"2,650",,"2,650",62,2.34,,8,62,,,0,,0,0,40,,,,15,13,,,,2,44,3,0,37.5,0,0.07
1-Apr-20,KP,"1,835",,"1,835",276,15.04,,23,276,,,0,,0,0,"3,046",,,,84,82,,,,2,165,19,8,2.76,0,0.12
1-Apr-20,Punjab,"10,104",,"10,104",845,8.36,,137,845,,,0,,0,0,"1,592",,,,384,383,,,,1,444,6,11,24.12,0,0.01
1-Apr-20,Sindh,"7,535",,"7,535",743,9.86,,67,743,,,0,,0,0,505,,,,387,383,,,,4,289,58,9,76.63,0,0.2
2-Apr-20,AJK,322,,322,9,2.8,,0,9,,,0,,0,0,210,,,,9,9,,,,0,0,0,0,4.29,0,0
2-Apr-20,Balochistan,"2,171",,"2,171",169,7.78,,0,169,,,0,,0,0,791,,,,125,125,,,,0,26,17,1,15.8,0,0.65
2-Apr-20,Gilgit Baltistan,844,,844,190,22.51,,3,190,,,0,,0,0,151,,,,12,12,,,,0,170,5,3,7.95,0,0.03
2-Apr-20,Islamabad,"2,395",,"2,395",68,2.84,,6,68,,,0,,0,0,40,,,,18,16,,,,2,47,3,0,45,0,0.06
2-Apr-20,KP,"1,938",,"1,938",311,16.05,,37,311,,,0,,0,0,"3,046",,,,92,90,,,,2,180,30,9,3.02,0,0.17
2-Apr-20,Punjab,"15,134",,"15,134",920,6.08,,75,920,,,0,,0,0,"1,592",,,,456,455,,,,1,447,6,11,28.64,0,0.01
2-Apr-20,Sindh,"7,504",,"7,504",783,10.43,,40,783,,,0,,0,0,505,,,,410,405,,,,5,297,65,11,81.19,0,0.22
3-Apr-20,AJK,343,,343,11,3.21,,2,11,,,0,,0,0,262,,,,11,11,,,,0,0,0,0,4.2,0,0
3-Apr-20,Balochistan,"2,401",,"2,401",175,7.29,,6,175,,,0,,0,0,"1,699",,,,132,132,,,,0,25,17,1,7.77,0,0.68
3-Apr-20,Gilgit Baltistan,860,,860,193,22.44,,3,193,,,0,,0,0,151,,,,12,12,,,,0,169,9,3,7.95,0,0.05
3-Apr-20,Islamabad,"2,569",,"2,569",75,2.92,,7,75,,,0,,0,0,40,,,,14,12,,,,2,58,3,0,35,0,0.05
3-Apr-20,KP,"1,624",,"1,624",343,21.12,,32,343,,,0,,0,0,"3,046",,,,92,87,,,,5,210,30,11,3.02,0,0.14
3-Apr-20,Punjab,"16,508",,"16,508","1,072",6.49,,152,"1,072",,,0,,0,0,"1,592",,,,506,505,,,,1,549,6,11,31.78,0,0.01
3-Apr-20,Sindh,"8,625",,"8,625",839,9.73,,56,839,,,0,,0,0,505,,,,391,386,,,,5,369,65,14,77.43,0,0.18
4-Apr-20,AJK,385,,385,12,3.12,,1,12,,,0,,0,0,262,,,,11,11,,,,0,0,1,0,4.2,0,0
4-Apr-20,Balochistan,"2,513",,"2,513",185,7.36,,10,185,,,0,,0,0,"1,699",,,,133,133,,,,0,34,17,1,7.83,0,0.5
4-Apr-20,Gilgit Baltistan,975,,975,206,21.13,,13,206,,,0,,0,0,151,,,,12,12,,,,0,182,9,3,7.95,0,0.05
4-Apr-20,Islamabad,"2,744",,"2,744",78,2.84,,3,78,,,0,,0,0,40,,,,10,8,,,,2,65,3,0,25,0,0.05
4-Apr-20,KP,"1,769",,"1,769",372,21.03,,29,372,,,0,,0,0,"3,046",,,,95,85,,,,10,233,30,14,3.12,0,0.13
4-Apr-20,Punjab,"17,653",,"17,653","1,163",6.59,,91,"1,163",,,0,,0,0,"1,592",,,,526,525,,,,1,600,25,12,33.04,0,0.04
4-Apr-20,Sindh,"8,846",,"8,846",864,9.77,,25,864,,,0,,0,0,505,,,,390,385,,,,5,374,85,15,77.23,0,0.23
5-Apr-20,AJK,400,,400,15,3.75,,3,15,,,0,,0,0,262,,,,14,14,,,,0,0,1,0,5.34,0,0
5-Apr-20,Balochistan,"2,777",,"2,777",191,6.88,,6,191,,,0,,0,0,"1,699",,,,112,112,,,,0,48,30,1,6.59,0,0.63
5-Apr-20,Gilgit Baltistan,998,,998,210,21.04,,4,210,,,0,,0,0,151,,,,12,12,,,,0,182,13,3,7.95,0,0.07
5-Apr-20,Islamabad,"2,871",,"2,871",82,2.86,,4,82,,,0,,0,0,40,,,,11,9,,,,2,68,3,0,27.5,0,0.04
5-Apr-20,KP,"1,974",,"1,974",405,20.52,,33,405,,,0,,0,0,"3,046",,,,120,117,,,,3,207,62,16,3.94,0,0.3
5-Apr-20,Punjab,"17,724",,"17,724","1,493",8.42,,330,"1,493",,,0,,0,0,"1,592",,,,653,652,,,,1,800,25,15,41.02,0,0.03
5-Apr-20,Sindh,"9,131",,"9,131",881,9.65,,17,881,,,0,,0,0,505,,,,363,352,,,,11,380,123,15,71.88,0,0.32
6-Apr-20,AJK,484,,484,18,3.72,,3,18,,,0,,0,0,262,,,,17,17,,,,0,0,1,0,6.49,0,0
6-Apr-20,Balochistan,"2,998",,"2,998",202,6.74,,11,202,,,0,,0,0,"1,699",,,,87,86,,,,1,51,63,1,5.12,0,1.24
6-Apr-20,Gilgit Baltistan,"1,015",,"1,015",211,20.79,,1,211,,,0,,0,0,151,,,,14,14,,,,0,179,15,3,9.27,0,0.08
6-Apr-20,Islamabad,"2,921",,"2,921",83,2.84,,1,83,,,0,,0,0,40,,,,17,16,,,,1,62,3,1,42.5,0,0.05
6-Apr-20,KP,"2,103",,"2,103",500,23.78,,85,500,,,0,,0,0,"3,046",,,,138,135,,,,3,276,69,17,4.53,0,0.25
6-Apr-20,Punjab,"20,073",,"20,073","1,918",9.56,,425,"1,918",,,0,,0,0,"1,592",,,,751,743,,,,8,"1,127",25,15,47.17,0,0.02
6-Apr-20,Sindh,"9,589",,"9,589",932,9.72,,51,932,,,0,,0,0,505,,,,287,272,,,,15,375,253,17,56.83,0,0.67
7-Apr-20,AJK,534,,534,19,3.56,,1,19,,,0,,0,0,262,,,,18,18,,,,0,0,1,0,6.87,0,0
7-Apr-20,Balochistan,"3,091",,"3,091",206,6.66,,4,206,,,0,,0,0,"1,699",,,,77,77,,,,0,52,75,2,4.53,0,1.44
7-Apr-20,Gilgit Baltistan,"1,127",,"1,127",212,18.81,,1,212,,,0,,0,0,151,,,,14,14,,,,0,180,15,3,9.27,0,0.08
7-Apr-20,Islamabad,"3,096",,"3,096",92,2.97,,9,92,,,0,,0,0,40,,,,17,16,,,,1,71,3,1,42.5,0,0.04
7-Apr-20,KP,"2,262",,"2,262",527,23.3,,27,527,,,0,,0,0,"3,046",,,,197,194,,,,3,242,70,18,6.47,0,0.29
7-Apr-20,Punjab,"21,826",,"21,826","2,030",9.3,,112,"2,030",,,0,,0,0,"1,592",,,,713,706,,,,7,"1,267",34,16,44.79,0,0.03
7-Apr-20,Sindh,"10,223",,"10,223",986,9.64,,54,986,,,0,,0,0,505,,,,303,289,,,,14,396,269,18,60,0,0.68
8-Apr-20,AJK,581,,581,28,4.82,,9,28,,,0,,0,0,262,,,,27,27,,,,0,0,1,0,10.31,0,0
8-Apr-20,Balochistan,"3,216",,"3,216",212,6.59,,6,212,,,0,,0,0,"1,699",,,,77,77,,,,0,57,76,2,4.53,0,1.33
8-Apr-20,Gilgit Baltistan,"1,143",,"1,143",213,18.64,,1,213,,,0,,0,0,151,,,,14,14,,,,0,100,96,3,9.27,0,0.96
8-Apr-20,Islamabad,"3,233",,"3,233",102,3.15,,10,102,,,0,,0,0,40,,,,11,10,,,,1,80,10,1,27.5,0,0.13
8-Apr-20,KP,"2,662",,"2,662",560,21.04,,31,560,,,0,,0,0,"3,046",,,,168,162,,,,6,298,74,20,5.52,0,0.25
8-Apr-20,Punjab,"23,080",,"23,080","2,171",9.41,,141,"2,171",,,0,,0,0,"1,592",,,,752,744,,,,8,"1,367",35,17,47.24,0,0.03
8-Apr-20,Sindh,"10,981",,"10,981","1,036",9.43,,50,"1,036",,,0,,0,0,505,,,,354,338,,,,16,382,280,20,70.1,0,0.73
9-Apr-20,AJK,631,,631,33,5.23,,5,33,,,0,,0,0,292,,,,32,32,,,,0,0,1,0,10.96,0,0
9-Apr-20,Balochistan,"3,405",,"3,405",219,6.43,,7,219,,,0,,0,0,"1,699",,,,70,69,,,,1,59,89,1,4.12,0,1.51
9-Apr-20,Gilgit Baltistan,"1,266",,"1,266",215,16.98,,2,215,,,0,,0,0,151,,,,14,14,,,,0,87,111,3,9.27,0,1.28
9-Apr-20,Islamabad,"3,375",,"3,375",107,3.17,,5,107,,,0,,0,0,40,,,,18,17,,,,1,78,10,1,45,0,0.13
9-Apr-20,KP,"2,871",,"2,871",620,21.6,,65,620,,,0,,0,0,"3,046",,,,201,181,,,,20,269,128,22,6.6,0,0.48
9-Apr-20,Punjab,"31,535",,"31,535","2,279",7.23,,108,"2,279",,,0,,0,0,"1,592",,,,745,740,,,,5,"1,477",39,18,46.8,0,0.03
9-Apr-20,Sindh,"11,623",,"11,623","1,128",9.7,,92,"1,128",,,0,,0,0,"4,688",,,,322,304,,,,18,436,349,21,6.87,0,0.8
10-Apr-20,AJK,745,,745,34,4.56,,1,34,,,0,,0,0,292,,,,33,33,,,,0,0,1,0,11.3,0,0
10-Apr-20,Balochistan,"3,694",,"3,694",220,5.96,,1,220,,,0,,0,0,"1,699",,,,68,68,,,,0,56,95,1,4,0,1.7
10-Apr-20,Gilgit Baltistan,"1,334",,"1,334",215,16.12,,0,215,,,0,,0,0,151,,,,17,17,,,,0,70,125,3,11.26,0,1.79
10-Apr-20,Islamabad,"3,480",,"3,480",113,3.25,,6,113,,,0,,0,0,40,,,,15,14,,,,1,84,13,1,37.5,0,0.15
10-Apr-20,KP,"3,046",,"3,046",656,21.54,,39,656,,,0,,0,0,"3,046",,,,201,181,,,,20,299,131,25,6.6,0,0.44
10-Apr-20,Punjab,"33,328",,"33,328","2,336",7.01,,57,"2,336",,,0,,0,0,"1,592",,,,764,756,,,,8,"1,514",39,19,47.99,0,0.03
10-Apr-20,Sindh,"12,209",,"12,209","1,214",9.94,,86,"1,214",,,0,,0,0,"4,688",,,,313,292,,,,21,521,358,22,6.68,0,0.69
11-Apr-20,AJK,813,,813,35,4.31,,1,35,,,0,,0,0,292,,,,34,34,,,,0,0,1,0,11.64,0,0
11-Apr-20,Balochistan,"3,812",,"3,812",228,5.98,,8,228,,,0,,0,0,"1,699",,,,62,62,,,,0,70,95,1,3.65,0,1.36
11-Apr-20,Gilgit Baltistan,"1,408",,"1,408",216,15.34,,1,216,,,0,,0,0,151,,,,9,9,,,,0,58,146,3,5.96,0,2.52
11-Apr-20,Islamabad,"3,570",,"3,570",119,3.33,,6,119,,,0,,0,0,40,,,,17,15,,,,2,88,13,1,42.5,0,0.15
11-Apr-20,KP,"3,259",,"3,259",697,21.39,,45,697,,,0,,0,0,"3,046",,,,210,203,,,,7,314,142,31,6.89,0,0.45
11-Apr-20,Punjab,"36,199",,"36,199","2,425",6.7,,89,"2,425",,,0,,0,0,"1,592",,,,765,756,,,,9,"1,381",258,21,48.05,0,0.19
11-Apr-20,Sindh,"12,740",,"12,740","1,318",10.35,,104,"1,318",,,0,,0,0,"4,688",,,,343,324,,,,19,576,371,28,7.32,0,0.64
12-Apr-20,AJK,910,,910,40,4.4,,5,40,,,0,,0,0,292,,,,38,38,,,,0,0,2,0,13.01,0,0
12-Apr-20,Balochistan,"3,906",,"3,906",230,5.89,,2,230,,,0,,0,0,"1,699",,,,40,40,,,,0,65,123,2,2.35,0,1.89
12-Apr-20,Gilgit Baltistan,"1,476",,"1,476",224,15.18,,8,224,,,0,,0,0,151,,,,9,9,,,,0,63,149,3,5.96,0,2.37
12-Apr-20,Islamabad,"3,836",,"3,836",131,3.42,,12,131,,,0,,0,0,40,,,,24,21,,,,3,91,15,1,60,0,0.16
12-Apr-20,KP,"3,478",,"3,478",744,21.39,,47,744,,,0,,0,0,"3,046",,,,211,202,,,,9,354,145,34,6.93,0,0.41
12-Apr-20,Punjab,"38,199",,"38,199","2,594",6.79,,169,"2,594",,,0,,0,0,"1,592",,,,832,822,,,,10,"1,467",272,23,52.26,0,0.19
12-Apr-20,Sindh,"13,309",,"13,309","1,411",10.6,,93,"1,411",,,0,,0,0,"4,688",,,,347,325,,,,22,645,389,30,7.4,0,0.6
13-Apr-20,AJK,992,,992,43,4.33,,3,43,,,0,,0,0,304,,,,39,39,,,,0,0,4,0,12.83,0,0
13-Apr-20,Balochistan,"4,012",,"4,012",231,5.76,,1,231,,,0,,0,0,"1,699",,,,34,34,,,,0,71,124,2,2,0,1.75
13-Apr-20,Gilgit Baltistan,"1,563",,"1,563",233,14.91,,9,233,,,0,,0,0,151,,,,9,9,,,,0,66,155,3,5.96,0,2.35
13-Apr-20,Islamabad,"3,947",,"3,947",131,3.32,,0,131,,,0,,0,0,40,,,,19,16,,,,3,96,15,1,47.5,0,0.16
13-Apr-20,KP,"3,793",,"3,793",800,21.09,,56,800,,,0,,0,0,"3,046",,,,211,202,,,,9,401,153,35,6.93,0,0.38
13-Apr-20,Punjab,"41,781",,"41,781","2,826",6.76,,232,"2,826",,,0,,0,0,"1,592",,,,702,693,,,,9,"1,592",508,24,44.1,0,0.32
13-Apr-20,Sindh,"13,840",,"13,840","1,452",10.49,,41,"1,452",,,0,,0,0,"4,688",,,,354,329,,,,25,648,419,31,7.55,0,0.65
14-Apr-20,AJK,"1,029",,"1,029",46,4.47,,3,46,,,0,,0,0,304,,,,42,42,,,,0,0,4,0,13.82,0,0
14-Apr-20,Balochistan,"4,100",,"4,100",240,5.85,,9,240,,,0,,0,0,"1,699",,,,20,20,,,,0,81,137,2,1.18,0,1.69
14-Apr-20,Gilgit Baltistan,"1,618",,"1,618",234,14.46,,1,234,,,0,,0,0,151,,,,5,5,,,,0,51,175,3,3.31,0,3.43
14-Apr-20,Islamabad,"4,473",,"4,473",140,3.13,,9,140,,,0,,0,0,40,,,,16,15,,,,1,106,17,1,40,0,0.16
14-Apr-20,KP,"4,151",,"4,151",865,20.84,,65,865,,,0,,0,0,"3,046",,,,211,202,,,,9,438,178,38,6.93,0,0.41
14-Apr-20,Punjab,"43,565",,"43,565","2,945",6.76,,119,"2,945",,,0,,0,0,"1,592",,,,759,750,,,,9,"1,650",508,28,47.68,0,0.31
14-Apr-20,Sindh,"14,503",,"14,503","1,518",10.47,,66,"1,518",,,0,,0,0,"4,688",,,,443,418,,,,25,613,427,35,9.45,0,0.7
15-Apr-20,AJK,"1,081",,"1,081",46,4.26,,0,46,,,0,,0,0,304,,,,37,37,,,,0,0,9,0,12.17,0,0
15-Apr-20,Balochistan,"4,299",,"4,299",280,6.51,,40,280,,,0,,0,0,"1,699",,,,25,25,,,,0,112,140,3,1.47,0,1.25
15-Apr-20,Gilgit Baltistan,"1,664",,"1,664",237,14.24,,3,237,,,0,,0,0,151,,,,5,5,,,,0,51,178,3,3.31,0,3.49
15-Apr-20,Islamabad,"4,824",,"4,824",145,3.01,,5,145,,,0,,0,0,40,,,,17,16,,,,1,110,17,1,42.5,0,0.15
15-Apr-20,KP,"4,524",,"4,524",912,20.16,,50,912,,,0,,0,0,"3,046",,,,211,202,,,,9,468,191,42,6.93,0,0.41
15-Apr-20,Punjab,"46,561",,"46,561","3,217",6.91,,272,"3,217",,,0,,0,0,"1,592",,,,756,747,,,,9,"1,877",550,34,47.49,0,0.29
15-Apr-20,Sindh,"16,026",,"16,026","1,668",10.41,,150,"1,668",,,0,,0,0,"4,688",,,,319,299,,,,20,748,560,41,6.8,0,0.75
16-Apr-20,AJK,"1,135",,"1,135",46,4.05,,0,46,,,0,,0,0,304,,,,37,37,,,,0,0,9,0,12.17,0,0
16-Apr-20,Balochistan,"4,427",,"4,427",303,6.84,,23,303,,,0,,0,0,"1,699",,,,33,33,,,,0,123,142,5,1.94,0,1.15
16-Apr-20,Gilgit Baltistan,"1,826",,"1,826",245,13.42,,8,245,,,0,,0,0,151,,,,5,5,,,,0,54,183,3,3.31,0,3.39
16-Apr-20,Islamabad,"5,150",,"5,150",154,2.99,,9,154,,,0,,0,0,40,,,,22,21,,,,1,111,20,1,55,0,0.18
16-Apr-20,KP,"4,885",,"4,885",993,20.33,,58,993,,,0,,0,0,"3,046",,,,230,223,,,,7,513,205,45,7.55,0,0.4
16-Apr-20,Punjab,"48,381",,"48,381","3,276",6.77,,59,"3,276",,,0,,0,0,"1,592",,,,767,750,,,,17,"1,843",630,36,48.18,0,0.34
16-Apr-20,Sindh,"18,900",,"18,900","2,008",10.62,,340,"2,008",,,0,,0,0,"4,688",,,,267,248,,,,19,"1,120",576,45,5.7,0,0.51
17-Apr-20,AJK,"1,175",,"1,175",48,4.09,,2,48,,,0,,0,0,304,,,,39,39,,,,0,0,9,0,12.83,0,0
17-Apr-20,Balochistan,"4,812",,"4,812",335,6.96,,32,335,,,0,,0,0,"1,699",,,,40,40,,,,0,148,142,5,2.35,0,0.96
17-Apr-20,Gilgit Baltistan,"2,021",,"2,021",250,12.37,,5,250,,,0,,0,0,151,,,,5,5,,,,0,50,192,3,3.31,0,3.84
17-Apr-20,Islamabad,"5,479",,"5,479",163,2.97,,9,163,,,0,,0,0,45,,,,13,11,,,,2,129,20,1,28.89,0,0.16
17-Apr-20,KP,"5,311",,"5,311","1,077",20.28,,93,"1,077",,,0,,0,0,"3,046",,,,280,273,,,,7,531,216,50,9.19,0,0.41
17-Apr-20,Punjab,"52,478",,"52,478","3,391",6.46,,115,"3,391",,,0,,0,0,"1,592",,,,787,773,,,,14,"1,895",672,37,49.43,0,0.35
17-Apr-20,Sindh,"21,272",,"21,272","2,217",10.42,,209,"2,217",,,0,,0,0,"4,688",,,,717,699,,,,18,872,581,47,15.29,0,0.67
18-Apr-20,AJK,"1,229",,"1,229",48,3.91,,0,48,,,0,,0,0,304,,,,39,39,,,,0,0,9,0,12.83,0,0
18-Apr-20,Balochistan,"5,085",,"5,085",376,7.39,,41,376,,,0,,0,0,"1,699",,,,51,51,,,,0,176,144,5,3,0,0.82
18-Apr-20,Gilgit Baltistan,"2,169",,"2,169",257,11.85,,7,257,,,0,,0,0,151,,,,5,5,,,,0,56,193,3,3.31,0,3.45
18-Apr-20,Islamabad,"5,857",,"5,857",171,2.92,,8,171,,,0,,0,0,45,,,,15,12,,,,3,134,20,2,33.33,0,0.15
18-Apr-20,KP,"6,003",,"6,003","1,137",18.94,,62,"1,137",,,0,,0,0,"3,046",,,,294,287,,,,7,557,226,60,9.65,0,0.41
18-Apr-20,Punjab,"55,241",,"55,241","3,649",6.61,,258,"3,649",,,0,,0,0,"1,592",,,,992,974,,,,18,"1,932",684,41,62.31,0,0.35
18-Apr-20,Sindh,"22,938",,"22,938","2,355",10.27,,138,"2,355",,,0,,0,0,"4,688",,,,764,745,,,,19,951,592,48,16.3,0,0.62
19-Apr-20,AJK,"1,275",,"1,275",49,3.84,,1,49,,,0,,0,0,304,,,,39,39,,,,0,0,10,0,12.83,0,0
19-Apr-20,Balochistan,"5,315",,"5,315",432,8.13,,56,432,,,0,,0,0,"1,699",,,,68,68,,,,0,207,152,5,4,0,0.73
19-Apr-20,Gilgit Baltistan,"2,430",,"2,430",263,10.82,,6,263,,,0,,0,0,151,,,,4,4,,,,0,62,194,3,2.65,0,3.13
19-Apr-20,Islamabad,"5,976",,"5,976",181,3.03,,10,181,,,0,,0,0,45,,,,16,13,,,,3,142,20,3,35.56,0,0.14
19-Apr-20,KP,"6,544",,"6,544","1,235",18.87,,98,"1,235",,,0,,0,0,"3,046",,,,296,287,,,,9,605,267,67,9.72,0,0.44
19-Apr-20,Punjab,"58,304",,"58,304","3,721",6.38,,72,"3,721",,,0,,0,0,"1,592",,,,"1,002",985,,,,17,"1,975",702,42,62.94,0,0.36
19-Apr-20,Sindh,"24,458",,"24,458","2,537",10.37,,182,"2,537",,,0,,0,0,"4,688",,,,791,776,,,,15,"1,065",625,56,16.87,0,0.59
20-Apr-20,AJK,"1,355",,"1,355",50,3.69,,1,50,,,0,,0,0,304,,,,34,34,,,,0,0,16,0,11.18,0,0
20-Apr-20,Balochistan,"5,636",,"5,636",465,8.25,,33,465,,,0,,0,0,"2,136",,,,67,67,,,,0,231,161,6,3.14,0,0.7
20-Apr-20,Gilgit Baltistan,"2,604",,"2,604",281,10.79,,18,281,,,0,,0,0,151,,,,4,4,,,,0,79,195,3,2.65,0,2.47
20-Apr-20,Islamabad,"6,224",,"6,224",185,2.97,,4,185,,,0,,0,0,40,,,,14,11,,,,3,148,20,3,35,0,0.14
20-Apr-20,KP,"9,360",,"9,360","1,276",13.63,,39,"1,276",,,0,,0,0,"3,046",,,,328,320,,,,8,577,297,74,10.77,0,0.51
20-Apr-20,Punjab,"60,649",,"60,649","4,195",6.92,,474,"4,195",,,0,,0,0,"1,592",,,,"1,151","1,137",,,,14,"2,257",742,45,72.3,0,0.33
20-Apr-20,Sindh,"26,058",,"26,058","2,764",10.61,,227,"2,764",,,0,,0,0,"4,688",,,,845,818,,,,27,"1,223",635,61,18.02,0,0.52
21-Apr-20,AJK,"1,410",,"1,410",51,3.62,,1,51,,,0,,0,0,304,,,,28,28,,,,0,0,23,0,9.21,0,0
21-Apr-20,Balochistan,"5,801",,"5,801",495,8.53,,30,495,,,0,,0,0,"2,136",,,,81,81,,,,0,241,167,6,3.79,0,0.69
21-Apr-20,Gilgit Baltistan,"2,736",,"2,736",283,10.34,,2,283,,,0,,0,0,151,,,,4,4,,,,0,78,198,3,2.65,0,2.54
21-Apr-20,Islamabad,"6,448",,"6,448",194,3.01,,9,194,,,0,,0,0,40,,,,27,23,,,,4,138,26,3,67.5,0,0.19
21-Apr-20,KP,"9,981",,"9,981","1,345",13.48,,69,"1,345",,,0,,0,0,"3,046",,,,249,239,,,,10,681,335,80,8.17,0,0.49
21-Apr-20,Punjab,"63,395",,"63,395","4,328",6.83,,133,"4,328",,,0,,0,0,"1,592",,,,"1,222","1,205",,,,17,"2,313",742,51,76.76,0,0.32
21-Apr-20,Sindh,"28,249",,"28,249","3,053",10.81,,289,"3,053",,,0,,0,0,"4,688",,,,910,883,,,,27,"1,412",665,66,19.41,0,0.47
22-Apr-20,AJK,"1,416",,"1,416",51,3.6,,0,51,,,0,,0,0,304,,,,28,28,,,,0,0,23,0,9.21,0,0
22-Apr-20,Balochistan,"6,130",,"6,130",552,9,,57,552,,,0,,0,0,"2,136",,,,82,82,,,,0,294,168,8,3.84,0,0.57
22-Apr-20,Gilgit Baltistan,"2,859",,"2,859",290,10.14,,7,290,,,0,,0,0,151,,,,10,10,,,,0,76,201,3,6.62,0,2.64
22-Apr-20,Islamabad,"6,931",,"6,931",204,2.94,,10,204,,,0,,0,0,207,,,,8,7,,,,1,167,26,3,3.86,0,0.16
22-Apr-20,KP,"10,837",,"10,837","1,453",13.41,,86,"1,453",,,0,,0,0,"4,093",,,,351,345,,,,6,605,414,83,8.58,0,0.68
22-Apr-20,Punjab,"66,030",,"66,030","4,590",6.95,,262,"4,590",,,0,,0,0,"2,674",,,,"1,290","1,273",,,,17,"2,452",790,58,48.24,0,0.32
22-Apr-20,Sindh,"30,346",,"30,346","3,373",11.12,,320,"3,373",,,0,,0,0,"4,688",,,,"1,010",974,,,,36,"1,579",715,69,21.54,0,0.45
23-Apr-20,AJK,"1,471",,"1,471",55,3.74,,4,55,,,0,,0,0,304,,,,30,30,,,,0,0,25,0,9.87,0,0
